,Office/Ballot Issue,Party,County,Candidate/Judge/Ballot Issue Title,Yes Votes/Percentage,No Votes/Percentage
1552,President/Vice President,Unaffiliated / No Party Affiliation,LA PLATA,Tom Hoefling / Andy Prior,0,
1553,President/Vice President,Unaffiliated / No Party Affiliation,LARIMER,Tom Hoefling / Andy Prior,0,
1554,President/Vice President,Unaffiliated / No Party Affiliation,LAS ANIMAS,Tom Hoefling / Andy Prior,0,
1555,President/Vice President,Unaffiliated / No Party Affiliation,LINCOLN,Tom Hoefling / Andy Prior,0,
1556,President/Vice President,Unaffiliated / No Party Affiliation,LOGAN,Tom Hoefling / Andy Prior,0,
1557,President/Vice President,Unaffiliated / No Party Affiliation,MESA,Tom Hoefling / Andy Prior,1,
1558,President/Vice President,Unaffiliated / No Party Affiliation,MINERAL,Tom Hoefling / Andy Prior,0,
1559,President/Vice President,Unaffiliated / No Party Affiliation,MOFFAT,Tom Hoefling / Andy Prior,0,
1560,President/Vice President,Unaffiliated / No Party Affiliation,MONTEZUMA,Tom Hoefling / Andy Prior,0,
1561,President/Vice President,Unaffiliated / No Party Affiliation,MONTROSE,Tom Hoefling / Andy Prior,0,
1562,President/Vice President,Unaffiliated / No Party Affiliation,MORGAN,Tom Hoefling / Andy Prior,0,
1563,President/Vice President,Unaffiliated / No Party Affiliation,OTERO,Tom Hoefling / Andy Prior,0,
1564,President/Vice President,Unaffiliated / No Party Affiliation,OURAY,Tom Hoefling / Andy Prior,0,
1565,President/Vice President,Unaffiliated / No Party Affiliation,PARK,Tom Hoefling / Andy Prior,0,
1566,President/Vice President,Unaffiliated / No Party Affiliation,PHILLIPS,Tom Hoefling / Andy Prior,0,
1567,President/Vice President,Unaffiliated / No Party Affiliation,PITKIN,Tom Hoefling / Andy Prior,0,
1568,President/Vice President,Unaffiliated / No Party Affiliation,PROWERS,Tom Hoefling / Andy Prior,0,
1569,President/Vice President,Unaffiliated / No Party Affiliation,PUEBLO,Tom Hoefling / Andy Prior,2,
1570,President/Vice President,Unaffiliated / No Party Affiliation,RIO BLANCO,Tom Hoefling / Andy Prior,0,
1571,President/Vice President,Unaffiliated / No Party Affiliation,RIO GRANDE,Tom Hoefling / Andy Prior,0,
1572,President/Vice President,Unaffiliated / No Party Affiliation,ROUTT,Tom Hoefling / Andy Prior,0,
1573,President/Vice President,Unaffiliated / No Party Affiliation,SAGUACHE,Tom Hoefling / Andy Prior,0,
1574,President/Vice President,Unaffiliated / No Party Affiliation,SAN JUAN,Tom Hoefling / Andy Prior,0,
1575,President/Vice President,Unaffiliated / No Party Affiliation,SAN MIGUEL,Tom Hoefling / Andy Prior,0,
1576,President/Vice President,Unaffiliated / No Party Affiliation,SEDGWICK,Tom Hoefling / Andy Prior,0,
1577,President/Vice President,Unaffiliated / No Party Affiliation,SUMMIT,Tom Hoefling / Andy Prior,0,
1578,President/Vice President,Unaffiliated / No Party Affiliation,TELLER,Tom Hoefling / Andy Prior,0,
1579,President/Vice President,Unaffiliated / No Party Affiliation,WASHINGTON,Tom Hoefling / Andy Prior,0,
1580,President/Vice President,Unaffiliated / No Party Affiliation,WELD,Tom Hoefling / Andy Prior,6,
1581,President/Vice President,Unaffiliated / No Party Affiliation,YUMA,Tom Hoefling / Andy Prior,0,
1582,President/Vice President,Unaffiliated / No Party Affiliation,,Tom Hoefling / Andy Prior Total Votes,24,
1583,President/Vice President,Unaffiliated / No Party Affiliation,,Tom Hoefling / Andy Prior Vote %,0.00%,
