County,Office/Ballot Issue_dem,Party_dem,Candidate/Judge/Ballot Issue Title_dem,Yes Votes/Percentage_Dem,Total_Dem_Votes,Total_Dem_Percent,Office/Ballot Issue_rep,Party_rep,Candidate/Judge/Ballot Issue Title_rep,Yes Votes/Percentage_Rep,Total_Rep_Votes,Total_Rep_Percent,Unnamed: 8
RIO GRANDE,President/Vice President,Democratic Party,Hillary Clinton / Tim Kaine,"2,001","1,338,870",48.16%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"3,085","1,202,484",43.25%,
ROUTT,President/Vice President,Democratic Party,Hillary Clinton / Tim Kaine,"7,600","1,338,870",48.16%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"5,230","1,202,484",43.25%,
SAGUACHE,President/Vice President,Democratic Party,Hillary Clinton / Tim Kaine,"1,417","1,338,870",48.16%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"1,147","1,202,484",43.25%,
SAN JUAN,President/Vice President,Democratic Party,Hillary Clinton / Tim Kaine,265,"1,338,870",48.16%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,215,"1,202,484",43.25%,
SAN MIGUEL,President/Vice President,Democratic Party,Hillary Clinton / Tim Kaine,"2,975","1,338,870",48.16%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"1,033","1,202,484",43.25%,
SEDGWICK,President/Vice President,Democratic Party,Hillary Clinton / Tim Kaine,267,"1,338,870",48.16%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"1,015","1,202,484",43.25%,
SUMMIT,President/Vice President,Democratic Party,Hillary Clinton / Tim Kaine,"9,557","1,338,870",48.16%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"5,100","1,202,484",43.25%,
TELLER,President/Vice President,Democratic Party,Hillary Clinton / Tim Kaine,"3,603","1,338,870",48.16%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"9,745","1,202,484",43.25%,
WASHINGTON,President/Vice President,Democratic Party,Hillary Clinton / Tim Kaine,296,"1,338,870",48.16%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"2,299","1,202,484",43.25%,
WELD,President/Vice President,Democratic Party,Hillary Clinton / Tim Kaine,"46,519","1,338,870",48.16%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"76,651","1,202,484",43.25%,
YUMA,President/Vice President,Democratic Party,Hillary Clinton / Tim Kaine,726,"1,338,870",48.16%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"3,850","1,202,484",43.25%,
