County,Office/Ballot Issue_dem,Party_dem,Candidate/Judge/Ballot Issue Title_dem,Yes Votes/Percentage_Dem,Total_Dem_Votes,Total_Dem_Percent,Office/Ballot Issue_rep,Party_rep,Candidate/Judge/Ballot Issue Title_rep,Yes Votes/Percentage_Rep,Total_Rep_Votes,Total_Rep_Percent
MONTROSE,President/Vice President,Democratic Party,Joseph R. Biden / Kamala D. Harris,"7,687","1,804,352",55.40%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"16,770","1,364,607",41.90%
MORGAN,President/Vice President,Democratic Party,Joseph R. Biden / Kamala D. Harris,"3,876","1,804,352",55.40%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"9,593","1,364,607",41.90%
OTERO,President/Vice President,Democratic Party,Joseph R. Biden / Kamala D. Harris,"3,605","1,804,352",55.40%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"5,756","1,364,607",41.90%
OURAY,President/Vice President,Democratic Party,Joseph R. Biden / Kamala D. Harris,"2,365","1,804,352",55.40%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"1,577","1,364,607",41.90%
PARK,President/Vice President,Democratic Party,Joseph R. Biden / Kamala D. Harris,"4,903","1,804,352",55.40%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"6,991","1,364,607",41.90%
PHILLIPS,President/Vice President,Democratic Party,Joseph R. Biden / Kamala D. Harris,486,"1,804,352",55.40%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"1,958","1,364,607",41.90%
PITKIN,President/Vice President,Democratic Party,Joseph R. Biden / Kamala D. Harris,"8,989","1,804,352",55.40%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"2,780","1,364,607",41.90%
PROWERS,President/Vice President,Democratic Party,Joseph R. Biden / Kamala D. Harris,"1,458","1,804,352",55.40%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"4,008","1,364,607",41.90%
PUEBLO,President/Vice President,Democratic Party,Joseph R. Biden / Kamala D. Harris,"43,772","1,804,352",55.40%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"42,252","1,364,607",41.90%
RIO BLANCO,President/Vice President,Democratic Party,Joseph R. Biden / Kamala D. Harris,561,"1,804,352",55.40%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"3,061","1,364,607",41.90%
RIO GRANDE,President/Vice President,Democratic Party,Joseph R. Biden / Kamala D. Harris,"2,495","1,804,352",55.40%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"3,660","1,364,607",41.90%
ROUTT,President/Vice President,Democratic Party,Joseph R. Biden / Kamala D. Harris,"10,582","1,804,352",55.40%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"5,925","1,364,607",41.90%
SAGUACHE,President/Vice President,Democratic Party,Joseph R. Biden / Kamala D. Harris,"1,884","1,804,352",55.40%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"1,413","1,364,607",41.90%
SAN JUAN,President/Vice President,Democratic Party,Joseph R. Biden / Kamala D. Harris,342,"1,804,352",55.40%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,202,"1,364,607",41.90%
SAN MIGUEL,President/Vice President,Democratic Party,Joseph R. Biden / Kamala D. Harris,"3,924","1,804,352",55.40%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"1,136","1,364,607",41.90%
SEDGWICK,President/Vice President,Democratic Party,Joseph R. Biden / Kamala D. Harris,301,"1,804,352",55.40%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"1,121","1,364,607",41.90%
SUMMIT,President/Vice President,Democratic Party,Joseph R. Biden / Kamala D. Harris,"12,631","1,804,352",55.40%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"5,322","1,364,607",41.90%
TELLER,President/Vice President,Democratic Party,Joseph R. Biden / Kamala D. Harris,"5,278","1,804,352",55.40%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"11,241","1,364,607",41.90%
WASHINGTON,President/Vice President,Democratic Party,Joseph R. Biden / Kamala D. Harris,369,"1,804,352",55.40%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"2,595","1,364,607",41.90%
WELD,President/Vice President,Democratic Party,Joseph R. Biden / Kamala D. Harris,"66,060","1,804,352",55.40%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"96,145","1,364,607",41.90%
YUMA,President/Vice President,Democratic Party,Joseph R. Biden / Kamala D. Harris,785,"1,804,352",55.40%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"4,107","1,364,607",41.90%
