,Office/Ballot Issue,Party,County,Candidate/Judge/Ballot Issue Title,Yes Votes/Percentage,No Votes/Percentage
217,President/Vice President,Unity Party of Colorado,EAGLE,Bill Hammons / Eric Bodenstab,32,
218,President/Vice President,Unity Party of Colorado,ELBERT,Bill Hammons / Eric Bodenstab,15,
219,President/Vice President,Unity Party of Colorado,EL PASO,Bill Hammons / Eric Bodenstab,360,
220,President/Vice President,Unity Party of Colorado,FREMONT,Bill Hammons / Eric Bodenstab,22,
221,President/Vice President,Unity Party of Colorado,GARFIELD,Bill Hammons / Eric Bodenstab,26,
222,President/Vice President,Unity Party of Colorado,GILPIN,Bill Hammons / Eric Bodenstab,2,
223,President/Vice President,Unity Party of Colorado,GRAND,Bill Hammons / Eric Bodenstab,4,
224,President/Vice President,Unity Party of Colorado,GUNNISON,Bill Hammons / Eric Bodenstab,7,
225,President/Vice President,Unity Party of Colorado,HINSDALE,Bill Hammons / Eric Bodenstab,0,
226,President/Vice President,Unity Party of Colorado,HUERFANO,Bill Hammons / Eric Bodenstab,2,
227,President/Vice President,Unity Party of Colorado,JACKSON,Bill Hammons / Eric Bodenstab,1,
228,President/Vice President,Unity Party of Colorado,JEFFERSON,Bill Hammons / Eric Bodenstab,318,
229,President/Vice President,Unity Party of Colorado,KIOWA,Bill Hammons / Eric Bodenstab,0,
230,President/Vice President,Unity Party of Colorado,KIT CARSON,Bill Hammons / Eric Bodenstab,2,
231,President/Vice President,Unity Party of Colorado,LAKE,Bill Hammons / Eric Bodenstab,4,
232,President/Vice President,Unity Party of Colorado,LA PLATA,Bill Hammons / Eric Bodenstab,23,
233,President/Vice President,Unity Party of Colorado,LARIMER,Bill Hammons / Eric Bodenstab,195,
234,President/Vice President,Unity Party of Colorado,LAS ANIMAS,Bill Hammons / Eric Bodenstab,5,
235,President/Vice President,Unity Party of Colorado,LINCOLN,Bill Hammons / Eric Bodenstab,1,
236,President/Vice President,Unity Party of Colorado,LOGAN,Bill Hammons / Eric Bodenstab,4,
237,President/Vice President,Unity Party of Colorado,MESA,Bill Hammons / Eric Bodenstab,65,
238,President/Vice President,Unity Party of Colorado,MINERAL,Bill Hammons / Eric Bodenstab,0,
239,President/Vice President,Unity Party of Colorado,MOFFAT,Bill Hammons / Eric Bodenstab,3,
240,President/Vice President,Unity Party of Colorado,MONTEZUMA,Bill Hammons / Eric Bodenstab,16,
241,President/Vice President,Unity Party of Colorado,MONTROSE,Bill Hammons / Eric Bodenstab,16,
242,President/Vice President,Unity Party of Colorado,MORGAN,Bill Hammons / Eric Bodenstab,11,
243,President/Vice President,Unity Party of Colorado,OTERO,Bill Hammons / Eric Bodenstab,10,
244,President/Vice President,Unity Party of Colorado,OURAY,Bill Hammons / Eric Bodenstab,2,
245,President/Vice President,Unity Party of Colorado,PARK,Bill Hammons / Eric Bodenstab,11,
246,President/Vice President,Unity Party of Colorado,PHILLIPS,Bill Hammons / Eric Bodenstab,1,
247,President/Vice President,Unity Party of Colorado,PITKIN,Bill Hammons / Eric Bodenstab,10,
248,President/Vice President,Unity Party of Colorado,PROWERS,Bill Hammons / Eric Bodenstab,3,
249,President/Vice President,Unity Party of Colorado,PUEBLO,Bill Hammons / Eric Bodenstab,94,
250,President/Vice President,Unity Party of Colorado,RIO BLANCO,Bill Hammons / Eric Bodenstab,3,
251,President/Vice President,Unity Party of Colorado,RIO GRANDE,Bill Hammons / Eric Bodenstab,2,
252,President/Vice President,Unity Party of Colorado,ROUTT,Bill Hammons / Eric Bodenstab,15,
253,President/Vice President,Unity Party of Colorado,SAGUACHE,Bill Hammons / Eric Bodenstab,2,
254,President/Vice President,Unity Party of Colorado,SAN JUAN,Bill Hammons / Eric Bodenstab,1,
255,President/Vice President,Unity Party of Colorado,SAN MIGUEL,Bill Hammons / Eric Bodenstab,2,
256,President/Vice President,Unity Party of Colorado,SEDGWICK,Bill Hammons / Eric Bodenstab,1,
257,President/Vice President,Unity Party of Colorado,SUMMIT,Bill Hammons / Eric Bodenstab,14,
258,President/Vice President,Unity Party of Colorado,TELLER,Bill Hammons / Eric Bodenstab,10,
259,President/Vice President,Unity Party of Colorado,WASHINGTON,Bill Hammons / Eric Bodenstab,2,
260,President/Vice President,Unity Party of Colorado,WELD,Bill Hammons / Eric Bodenstab,170,
261,President/Vice President,Unity Party of Colorado,YUMA,Bill Hammons / Eric Bodenstab,2,
262,President/Vice President,Unity Party of Colorado,,Bill Hammons / Eric Bodenstab Total Votes,"2,730",
263,President/Vice President,Unity Party of Colorado,,Bill Hammons / Eric Bodenstab Vote %,0.08%,
264,President/Vice President,Green Party,ADAMS,Howie Hawkins / Angela Nicole Walker,744,
265,President/Vice President,Green Party,ALAMOSA,Howie Hawkins / Angela Nicole Walker,23,
266,President/Vice President,Green Party,ARAPAHOE,Howie Hawkins / Angela Nicole Walker,926,
267,President/Vice President,Green Party,ARCHULETA,Howie Hawkins / Angela Nicole Walker,19,
268,President/Vice President,Green Party,BACA,Howie Hawkins / Angela Nicole Walker,3,
269,President/Vice President,Green Party,BENT,Howie Hawkins / Angela Nicole Walker,6,
270,President/Vice President,Green Party,BOULDER,Howie Hawkins / Angela Nicole Walker,697,
271,President/Vice President,Green Party,BROOMFIELD,Howie Hawkins / Angela Nicole Walker,104,
272,President/Vice President,Green Party,CHAFFEE,Howie Hawkins / Angela Nicole Walker,46,
273,President/Vice President,Green Party,CHEYENNE,Howie Hawkins / Angela Nicole Walker,0,
274,President/Vice President,Green Party,CLEAR CREEK,Howie Hawkins / Angela Nicole Walker,23,
275,President/Vice President,Green Party,CONEJOS,Howie Hawkins / Angela Nicole Walker,9,
276,President/Vice President,Green Party,COSTILLA,Howie Hawkins / Angela Nicole Walker,4,
277,President/Vice President,Green Party,CROWLEY,Howie Hawkins / Angela Nicole Walker,0,
278,President/Vice President,Green Party,CUSTER,Howie Hawkins / Angela Nicole Walker,5,
279,President/Vice President,Green Party,DELTA,Howie Hawkins / Angela Nicole Walker,45,
280,President/Vice President,Green Party,DENVER,Howie Hawkins / Angela Nicole Walker,"1,230",
281,President/Vice President,Green Party,DOLORES,Howie Hawkins / Angela Nicole Walker,1,
282,President/Vice President,Green Party,DOUGLAS,Howie Hawkins / Angela Nicole Walker,432,
283,President/Vice President,Green Party,EAGLE,Howie Hawkins / Angela Nicole Walker,78,
284,President/Vice President,Green Party,ELBERT,Howie Hawkins / Angela Nicole Walker,31,
285,President/Vice President,Green Party,EL PASO,Howie Hawkins / Angela Nicole Walker,"1,135",
286,President/Vice President,Green Party,FREMONT,Howie Hawkins / Angela Nicole Walker,59,
287,President/Vice President,Green Party,GARFIELD,Howie Hawkins / Angela Nicole Walker,99,
288,President/Vice President,Green Party,GILPIN,Howie Hawkins / Angela Nicole Walker,17,
289,President/Vice President,Green Party,GRAND,Howie Hawkins / Angela Nicole Walker,31,
290,President/Vice President,Green Party,GUNNISON,Howie Hawkins / Angela Nicole Walker,39,
291,President/Vice President,Green Party,HINSDALE,Howie Hawkins / Angela Nicole Walker,1,
292,President/Vice President,Green Party,HUERFANO,Howie Hawkins / Angela Nicole Walker,12,
293,President/Vice President,Green Party,JACKSON,Howie Hawkins / Angela Nicole Walker,2,
294,President/Vice President,Green Party,JEFFERSON,Howie Hawkins / Angela Nicole Walker,"1,089",
295,President/Vice President,Green Party,KIOWA,Howie Hawkins / Angela Nicole Walker,0,
296,President/Vice President,Green Party,KIT CARSON,Howie Hawkins / Angela Nicole Walker,2,
297,President/Vice President,Green Party,LAKE,Howie Hawkins / Angela Nicole Walker,23,
298,President/Vice President,Green Party,LA PLATA,Howie Hawkins / Angela Nicole Walker,128,
299,President/Vice President,Green Party,LARIMER,Howie Hawkins / Angela Nicole Walker,727,
300,President/Vice President,Green Party,LAS ANIMAS,Howie Hawkins / Angela Nicole Walker,17,
301,President/Vice President,Green Party,LINCOLN,Howie Hawkins / Angela Nicole Walker,1,
302,President/Vice President,Green Party,LOGAN,Howie Hawkins / Angela Nicole Walker,16,
303,President/Vice President,Green Party,MESA,Howie Hawkins / Angela Nicole Walker,188,
304,President/Vice President,Green Party,MINERAL,Howie Hawkins / Angela Nicole Walker,0,
305,President/Vice President,Green Party,MOFFAT,Howie Hawkins / Angela Nicole Walker,7,
306,President/Vice President,Green Party,MONTEZUMA,Howie Hawkins / Angela Nicole Walker,33,
307,President/Vice President,Green Party,MONTROSE,Howie Hawkins / Angela Nicole Walker,49,
308,President/Vice President,Green Party,MORGAN,Howie Hawkins / Angela Nicole Walker,26,
309,President/Vice President,Green Party,OTERO,Howie Hawkins / Angela Nicole Walker,16,
310,President/Vice President,Green Party,OURAY,Howie Hawkins / Angela Nicole Walker,12,
311,President/Vice President,Green Party,PARK,Howie Hawkins / Angela Nicole Walker,56,
312,President/Vice President,Green Party,PHILLIPS,Howie Hawkins / Angela Nicole Walker,7,
313,President/Vice President,Green Party,PITKIN,Howie Hawkins / Angela Nicole Walker,41,
314,President/Vice President,Green Party,PROWERS,Howie Hawkins / Angela Nicole Walker,9,
315,President/Vice President,Green Party,PUEBLO,Howie Hawkins / Angela Nicole Walker,205,
316,President/Vice President,Green Party,RIO BLANCO,Howie Hawkins / Angela Nicole Walker,3,
317,President/Vice President,Green Party,RIO GRANDE,Howie Hawkins / Angela Nicole Walker,11,
318,President/Vice President,Green Party,ROUTT,Howie Hawkins / Angela Nicole Walker,37,
319,President/Vice President,Green Party,SAGUACHE,Howie Hawkins / Angela Nicole Walker,13,
320,President/Vice President,Green Party,SAN JUAN,Howie Hawkins / Angela Nicole Walker,2,
321,President/Vice President,Green Party,SAN MIGUEL,Howie Hawkins / Angela Nicole Walker,14,
322,President/Vice President,Green Party,SEDGWICK,Howie Hawkins / Angela Nicole Walker,1,
323,President/Vice President,Green Party,SUMMIT,Howie Hawkins / Angela Nicole Walker,60,
324,President/Vice President,Green Party,TELLER,Howie Hawkins / Angela Nicole Walker,25,
325,President/Vice President,Green Party,WASHINGTON,Howie Hawkins / Angela Nicole Walker,5,
326,President/Vice President,Green Party,WELD,Howie Hawkins / Angela Nicole Walker,340,
327,President/Vice President,Green Party,YUMA,Howie Hawkins / Angela Nicole Walker,2,
328,President/Vice President,Green Party,,Howie Hawkins / Angela Nicole Walker Total Votes,"8,986",
329,President/Vice President,Green Party,,Howie Hawkins / Angela Nicole Walker Vote %,0.28%,
330,President/Vice President,Approval Voting Party,ADAMS,Blake Huber / Frank Atwood,37,
331,President/Vice President,Approval Voting Party,ALAMOSA,Blake Huber / Frank Atwood,1,
332,President/Vice President,Approval Voting Party,ARAPAHOE,Blake Huber / Frank Atwood,41,
333,President/Vice President,Approval Voting Party,ARCHULETA,Blake Huber / Frank Atwood,1,
334,President/Vice President,Approval Voting Party,BACA,Blake Huber / Frank Atwood,2,
